Type,Investor,Stock,Holding_Value_in_Cr,Quantity,Dec_2023,Sep_2023,Jun_2023,Mar_2023,Dec_2022,Sep_2022,Jun_2022,Mar_2022,Dec_2021
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Delta_Corp_Ltd,,0,0,0,0,0,0,0,0,0.032,0.032
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Edelweiss_Financial_Services_Ltd,,0,0,0,0,0.013,0.015,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Escorts_Kubota_Ltd,483.4,1790388,0.016,0.016,0.016,0.014,0.014,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Federal_Bank_Ltd,713.6,48213440,0.02,0.021,0.023,0.023,0.023,0,0.01,0.01,0.01
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Fortis_Healthcare_Ltd,1394.8,35152108,0.047,0.047,0.045,0.045,0.045,0.012,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Geojit_Financial_Services_Ltd,126.4,19637500,0.082,0.082,0.082,0.084,0.084,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Indian_Hotels_Company_Ltd,1663.2,30016965,0.021,0.021,0.021,0.021,0.021,0.011,0.01,0.01,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Pharmova_Ltd,606.2,10645000,0.067,0.067,0.067,0.068,0.068,0.032,0.032,0.032,0.032
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Karur_Vysya_Bank_Ltd,656,37166719,0.046,0.046,0,0.029,0.029,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,NCC_Ltd,1850.3,82180932,0.131,0.131,0.131,0.131,0.131,0.126,0.126,0.128,0.128
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Prozone_Realty_Ltd,,0,0,0,0,0.021,0.021,0.021,0.021,0.021,0.021
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Rallis_India_Ltd,,0,0,0,0.078,0.082,0.082,0.027,0.027,0.027,0.027
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Sun_Pharma_Advanced_Research_Company_Ltd,228.4,6292134,0.019,0.019,0.019,0.019,0,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Communications_Ltd,1013.4,5234687,0.018,0.018,0.018,0.018,0.018,0.016,0.011,0.011,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Motors_Ltd,5121.9,53256000,0.016,0.016,0.016,0.016,0.016,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Titan_Company_Ltd,17051.3,47695970,0.054,0.054,0.054,0.053,0.052,0.017,0.011,0.011,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,TV18_Broadcast_Ltd,,0,0,0,0,0,0,0,0,0.012,0.015
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Va_Tech_Wabag_Ltd,351.1,5000000,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Wockhardt_Ltd,155,2935005,0.02,0.02,0.02,0.021,0.021,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Singer_India_Ltd,34.8,4250000,0.07,0.07,0.07,0.07,0.079,0.079,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Bilcare_Ltd,,0,0,0,0,0,0.074,0,0.011,0,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Raghav_Productivity_Enhancers_Ltd,69.6,1174252,0.051,0.051,0.051,0.052,0,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Dishman_Carbogen_Amcis_Ltd,,0,0,0,0,0,0.016,0.016,0.016,0.016,0.016
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Nazara_Technologies_Ltd,441.2,6588620,0.09,0.1,0.1,0.1,0.1,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Ingrevia_Ltd,216.5,4965000,0.031,0.031,0.031,0.032,0.032,0.016,0.016,0.016,0.016
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Star_Health_and_Allied_Insurance_Company_Ltd,985.5,17870977,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Metro_Brands_Ltd,2721.7,26102394,0.096,0.096,0.096,0.144,0.144,0.096,0.144,0.096,0.096
Individual Investor,Mukul_Agrawal,Allcargo_Logistics_Ltd,22.2,3300000,0.013,0.013,0.013,0.013,0.013,0.013,0,0.013,0
Individual Investor,Mukul_Agrawal,Ceat_Ltd,123.8,500000,0.012,0.012,0.012,0.012,0.012,0.012,0,0,0
Individual Investor,Mukul_Agrawal,LT_Foods_Ltd,68.6,4000000,0.012,0.012,0.012,0.012,0.013,0.017,0.017,0.017,0.017
Individual Investor,Mukul_Agrawal,Delta_Corp_Ltd,,0,0,0,0.012,0.011,0.011,0.015,0.012,0.011,0.011
Individual Investor,Mukul_Agrawal,De_Nora_India_Ltd,,0,0,0.019,0.019,0.014,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Dish_TV_India_Ltd,34.7,20000000,0.011,0.016,0.016,0.016,0.016,0.014,0,0,0
Individual Investor,Mukul_Agrawal,Dynamatic_Technologies_Ltd,,0,0,0,0,0,0,0,0,0,0.012
Individual Investor,Mukul_Agrawal,Eveready_Industries_India_Ltd,,0,0,0,0,0,0,0,0,0.028,0.022
Individual Investor,Mukul_Agrawal,Allcargo_Gati_Ltd,,0,0,0,0.054,0.054,0.054,0.057,0.057,0.057,0.057
Individual Investor,Mukul_Agrawal,G_M_Breweries_Ltd,,0,0,0,0,0,0,0,0.014,0,0.016
Individual Investor,Mukul_Agrawal,Goldiam_International_Ltd,,0,0,0,0.013,0.023,0.028,0.028,0.028,0.028,0.028
Individual Investor,Mukul_Agrawal,Kingfa_Science_and_Technology_(India)_Ltd,54.7,300000,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Individual Investor,Mukul_Agrawal,Indo_Count_Industries_Ltd,75.4,2325000,0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011
Individual Investor,Mukul_Agrawal,Indian_Metals_and_Ferro_Alloys_Ltd,43.5,778900,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.019,0.019
Individual Investor,Mukul_Agrawal,ISMT_Ltd,33.3,4001346,0.013,0.013,0.013,0.013,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Jagsonpal_Pharmaceuticals_Ltd,,0,0,0.018,0.018,0.018,0.018,0.018,0.018,0,0
Individual Investor,Mukul_Agrawal,J_Kumar_Infraprojects_Ltd,117.2,2000000,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.028,0.028
Individual Investor,Mukul_Agrawal,Kanoria_Chemicals_and_Industries_Ltd,,0,0,0,0.012,0.013,0.014,0.014,0,0,0
Individual Investor,Mukul_Agrawal,Karur_Vysya_Bank_Ltd,150.6,8500000,0.011,0.011,0,0.011,0.011,0.013,0.013,0.013,0
Individual Investor,Mukul_Agrawal,Kamdhenu_Ltd,,0,0,0,0,0,0,0.039,0.039,0.039,0.039
Individual Investor,Mukul_Agrawal,Marksans_Pharma_Ltd,,0,0,0,0,0,0,0,0.012,0.012,0.012
Individual Investor,Mukul_Agrawal,Mastek_Ltd,,0,0,0,0,0,0,0,0.011,0.01,0.011
Individual Investor,Mukul_Agrawal,MPS_Ltd,117.9,762457,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044
Individual Investor,Mukul_Agrawal,Neuland_Laboratories_Ltd,246.3,400000,0.031,0.031,0.033,0.031,0.031,0.029,0.029,0.029,0.027
Individual Investor,Mukul_Agrawal,OnMobile_Global_Ltd,,0,0,0,0,0,0,0.011,0.012,0.016,0
Individual Investor,Mukul_Agrawal,Pearl_Global_Industries_Ltd,45.5,750000,0.034,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
