Index,Segment,Investor,stock,Holding_value,Quantity,Dec-23,Sep-23,Jun-23,Mar-23,Dec-22,Sep-22,Jun-22,Mar-22,Dec-21,Sep-21
1245,Institutional Investors,ICICI_Group,Larsen_and_Toubro_Ltd,5668.600098,16162219,0.012,0.037999999,0.039999999,0.039000001,0.012,0.013,0.012,0.012,0.013,0.034000002
1246,Institutional Investors,ICICI_Group,Lupin_Ltd,3797.100098,23909394,0.052999999,0.050999999,0.055,0.057,0.052999999,0.056000002,0.059999999,0.054000001,0.044,0.035
1247,Institutional Investors,ICICI_Group,Mahindra_and_Mahindra_Ltd,0,0,0,0,0.012,0.030999999,0,0.035,0.035,0.045000002,0.057999998,0.052999999
1248,Institutional Investors,ICICI_Group,Mahindra_and_Mahindra_Financial_Services_Ltd,880.2999878,33837367,0.027000001,0.022,0.012,0.011,0.027000001,0.012,0.017000001,0.017999999,0.022,0.017000001
1249,Institutional Investors,ICICI_Group,CIE_Automotive_India_Ltd,208.1000061,4777914,0.013,0,0,0,0.013,0,0,0,0,0
1250,Institutional Investors,ICICI_Group,Mahindra_Lifespace_Developers_Ltd,311.1000061,5782145,0.037,0.041000001,0.041000001,0.041999999,0.037,0.043000001,0.046,0.063000001,0.071999997,0.072999999
1251,Institutional Investors,ICICI_Group,Manappuram_Finance_Ltd,0,0,0,0,0,0.011,0,0.012,0.013,0.015,0.011,0
1252,Institutional Investors,ICICI_Group,Maruti_Suzuki_India_Ltd,12990.2998,11237534,0.035999998,0.033,0.028000001,0.028000001,0.035999998,0.023,0.014,0.014,0.013,0.014
1253,Institutional Investors,ICICI_Group,Max_Financial_Services_Ltd,968.5,10054225,0.028999999,0.029999999,0.041000001,0.044,0.028999999,0.048999999,0.037,0.039000001,0.041000001,0.037
1254,Institutional Investors,ICICI_Group,Mayur_Uniquoters_Ltd,53.59999847,1104812,0.025,0.025,0.025,0.032000002,0.025,0.030999999,0.012,0,0,0
1255,Institutional Investors,ICICI_Group,United_Spirits_Ltd,0,0,0,0,0,0,0,0,0,0.011,0.011,0.013
1256,Institutional Investors,ICICI_Group,Multi_Commodity_Exchange_of_India_Ltd,0,0,0,0.023,0.030999999,0.029999999,0,0.039000001,0.043000001,0.041000001,0.035,0.029999999
1257,Institutional Investors,ICICI_Group,Minda_Corporation_Ltd,135.1000061,3540889,0.015,0.025,0,0,0.015,0,0,0,0,0
1258,Institutional Investors,ICICI_Group,UNO_Minda_Ltd,0,0,0,0,0.011,0.013,0,0.011,0,0.011,0,0.011
1259,Institutional Investors,ICICI_Group,Samvardhana_Motherson_International_Ltd,3343.100098,297689712,0.044,0.046,0.054000001,0.059,0.044,0.039000001,0.029999999,0.030999999,0.027000001,0.035
1260,Institutional Investors,ICICI_Group,MphasiS_Ltd,503.7999878,2089795,0.011,0.017999999,0.021,0.013,0.011,0.013,0.011,0.011,0.01,0
1261,Institutional Investors,ICICI_Group,Mangalore_Refinery_And_Petrochemicals_Ltd,440.2000122,19255490,0.011,0,0,0,0.011,0,0,0,0,0.011
