sectors,Company_name
Courier_Services,Allcargo
Courier_Services,AVG_Logistics
Courier_Services,Shreyas_Shippin
Courier_Services,Maheshwari_Logi
Courier_Services,Patel_Integrate
Consumer_Food,Nestle
Consumer_Food,Britannia
Consumer_Food,Adani_Wilmar
Consumer_Food,Jubilant_Food
Consumer_Food,Hatsun_Agro
Consumer_Food,Devyani_Int
Consumer_Food,Bikaji_Foods
Consumer_Food,Godrej_Agrovet
Consumer_Food,Zydus_Wellness
Consumer_Food,Bectors_Food
Consumer_Food,LT_Foods
Consumer_Food,Hindustan_Foods
Consumer_Food,Restaurant_Bran
Consumer_Food,Dodla_Dairy
Consumer_Food,Tasty_Bite
Consumer_Food,Heritage_Foods
Consumer_Food,HMA_Agro
Consumer_Food,Vadilal_Ind
Consumer_Food,Parag_Milk_Food
Consumer_Food,Prataap_Snacks
Consumer_Food,Barbeque_Nat
Consumer_Food,ADF_Foods
Consumer_Food,Gulshan_Poly
Consumer_Food,Foods_and_Inns
Consumer_Food,Sukhjit_Starch
Consumer_Food,Annapurna_Swa
Consumer_Food,IFB_Agro
Consumer_Food,Sheetal_Cool_Pr
Consumer_Food,Megastar_Foods
Consumer_Food,Proventus
Consumer_Food,Euro_India_Fres
Consumer_Food,Coastal_Corp
Consumer_Food,Srivari_Spices
Consumer_Food,Future_Consumer
Consumer_Food,Umang_Dairies
Consumer_Food,Dangee_Dums
Consumer_Food,Nakoda_Group
Consumer_Food,Tapi_Fruit
Construction_Residential_&_Commercial_Complexes,DLF
Construction_Residential_&_Commercial_Complexes,Macrotech_Dev
Construction_Residential_&_Commercial_Complexes,Godrej_Prop
Construction_Residential_&_Commercial_Complexes,Phoenix_Mills
Construction_Residential_&_Commercial_Complexes,Oberoi_Realty
Construction_Residential_&_Commercial_Complexes,Prestige_Estate
Construction_Residential_&_Commercial_Complexes,NBCC_(India)
Construction_Residential_&_Commercial_Complexes,Brigade_Ent
Construction_Residential_&_Commercial_Complexes,Sobha
Construction_Residential_&_Commercial_Complexes,DB_Realty
Construction_Residential_&_Commercial_Complexes,Mahindra_Life
Construction_Residential_&_Commercial_Complexes,Ahluwalia
Construction_Residential_&_Commercial_Complexes,Keystone_Real
Construction_Residential_&_Commercial_Complexes,Indiabulls_Real
Construction_Residential_&_Commercial_Complexes,Dilip_Buildcon
Construction_Residential_&_Commercial_Complexes,Sunteck_Realty
Construction_Residential_&_Commercial_Complexes,Ganesh_Housing
Construction_Residential_&_Commercial_Complexes,Puravankara
Construction_Residential_&_Commercial_Complexes,Welspun_Enter
Construction_Residential_&_Commercial_Complexes,KoltePatil
Construction_Residential_&_Commercial_Complexes,Ashiana_Housing
Construction_Residential_&_Commercial_Complexes,Arvind_Smart
Construction_Residential_&_Commercial_Complexes,Unitech
Construction_Residential_&_Commercial_Complexes,Ajmera_Realty
Construction_Residential_&_Commercial_Complexes,Marathon_Realty
Construction_Residential_&_Commercial_Complexes,Shriram_Prop
Construction_Residential_&_Commercial_Complexes,Omaxe
Construction_Residential_&_Commercial_Complexes,Peninsula_Land
Construction_Residential_&_Commercial_Complexes,Arihant_Super
Construction_Residential_&_Commercial_Complexes,Hubtown
Construction_Residential_&_Commercial_Complexes,Eldeco_Housing
Construction_Residential_&_Commercial_Complexes,Parsvnath
Construction_Residential_&_Commercial_Complexes,Prozone_Realty
Construction_Residential_&_Commercial_Complexes,Emami_Realty
Construction_Residential_&_Commercial_Complexes,Vipul
Construction_Residential_&_Commercial_Complexes,Lancor_Holdings
Construction_Residential_&_Commercial_Complexes,Art_Nirman
Construction_Residential_&_Commercial_Complexes,Pansari_Develop
Construction_Residential_&_Commercial_Complexes,AMJ_Land
Construction_Residential_&_Commercial_Complexes,Shradha_Infra
Construction_Residential_&_Commercial_Complexes,Landmark_Prop
Construction_Residential_&_Commercial_Complexes,Sonu_Infratech
Construction_Real_Estate,Embassy_Office
Construction_Real_Estate,Nexus_Select
Construction_Real_Estate,Anant_Raj
Construction_Real_Estate,Brookfield_REIT
Construction_Real_Estate,Hemisphere
Construction_Real_Estate,TARC
Construction_Real_Estate,PSP_Projects
Construction_Real_Estate,Capacite_Infra
Construction_Real_Estate,BL_Kashyap
Construction_Real_Estate,Bigbloc_Constru
Construction_Real_Estate,Suratwwala_BG
